job_id,company_id,job_title,salary,required_skills,employment_type,work_model,years_experience_required,career_growth_index
JOB_0001,7,Data Analyst,88000,"SQL, Python, Tableau, Excel",Full-time,Hybrid,4,High
JOB_0002,7,UX/UI Designer,40000,"Figma, Adobe XD, Wireframing, User Research",Full-time,Remote,5,High
JOB_0003,7,Data Engineer,74000,"Python, Spark, Airflow, Snowflake",Full-time,On-site,4,Medium
JOB_0004,10,Backend Developer,80000,"Node.js, Python, Go, PostgreSQL",Full-time,Hybrid,1,Medium
JOB_0005,12,Frontend Developer,41000,"React, Vue, TypeScript, HTML/CSS",Full-time,On-site,5,High
JOB_0006,15,Mobile Developer,45000,"Flutter, React Native, Swift, Kotlin",Full-time,On-site,1,Stable
JOB_0007,15,Full Stack Developer,49000,"React, Node.js, AWS, Docker",Full-time,Hybrid,3,High
JOB_0008,15,Full Stack Developer,57000,"React, Node.js, AWS, Docker",Full-time,On-site,2,Stable
JOB_0009,17,Backend Developer,94000,"Node.js, Python, Go, PostgreSQL",Full-time,On-site,2,High
JOB_0010,17,QA Engineer,31000,"Selenium, Cypress, Automated Testing, Jira",Full-time,On-site,3,High
JOB_0011,17,UX/UI Designer,58000,"Figma, Adobe XD, Wireframing, User Research",Full-time,Hybrid,4,Medium
JOB_0012,18,Frontend Developer,37000,"React, Vue, TypeScript, HTML/CSS",Full-time,Hybrid,1,Medium
JOB_0013,18,DevOps Engineer,33000,"AWS, Docker, Kubernetes, CI/CD",Full-time,On-site,5,Stable
JOB_0014,19,Backend Developer,52000,"Node.js, Python, Go, PostgreSQL",Full-time,Remote,4,High
JOB_0015,19,Data Analyst,66000,"SQL, Python, Tableau, Excel",Full-time,Hybrid,3,Stable
JOB_0016,19,UX/UI Designer,80000,"Figma, Adobe XD, Wireframing, User Research",Full-time,Hybrid,3,High
JOB_0017,21,Backend Developer,74000,"Node.js, Python, Go, PostgreSQL",Full-time,Hybrid,2,Stable
JOB_0018,23,QA Engineer,42000,"Selenium, Cypress, Automated Testing, Jira",Full-time,Hybrid,1,High
JOB_0019,24,QA Engineer,62000,"Selenium, Cypress, Automated Testing, Jira",Full-time,On-site,1,High
JOB_0020,24,Full Stack Developer,53000,"React, Node.js, AWS, Docker",Full-time,Hybrid,5,Stable
JOB_0021,24,Data Engineer,108000,"Python, Spark, Airflow, Snowflake",Contract,On-site,2,Stable
JOB_0022,25,Frontend Developer,34000,"React, Vue, TypeScript, HTML/CSS",Full-time,Hybrid,3,Stable
JOB_0023,25,Product Manager,32000,"Agile, Scrum, Jira, Product Roadmap",Full-time,Hybrid,5,Stable
JOB_0024,26,Full Stack Developer,76000,"React, Node.js, AWS, Docker",Full-time,On-site,3,Stable
JOB_0025,27,UX/UI Designer,44000,"Figma, Adobe XD, Wireframing, User Research",Full-time,On-site,4,High
JOB_0026,27,Mobile Developer,48000,"Flutter, React Native, Swift, Kotlin",Full-time,Hybrid,5,Stable
JOB_0027,28,Frontend Developer,33000,"React, Vue, TypeScript, HTML/CSS",Contract,Remote,3,Stable
JOB_0028,28,UX/UI Designer,65000,"Figma, Adobe XD, Wireframing, User Research",Full-time,On-site,2,Medium
JOB_0029,28,Data Analyst,87000,"SQL, Python, Tableau, Excel",Full-time,On-site,5,Stable
JOB_0030,29,Backend Developer,80000,"Node.js, Python, Go, PostgreSQL",Full-time,On-site,3,Stable
JOB_0031,29,DevOps Engineer,41000,"AWS, Docker, Kubernetes, CI/CD",Full-time,On-site,2,Medium
JOB_0032,30,Mobile Developer,36000,"Flutter, React Native, Swift, Kotlin",Contract,On-site,3,High
JOB_0033,30,Frontend Developer,49000,"React, Vue, TypeScript, HTML/CSS",Full-time,Hybrid,3,High
JOB_0034,32,UX/UI Designer,38000,"Figma, Adobe XD, Wireframing, User Research",Full-time,On-site,4,Stable
JOB_0035,32,Frontend Developer,41000,"React, Vue, TypeScript, HTML/CSS",Full-time,On-site,1,High
JOB_0036,32,DevOps Engineer,38000,"AWS, Docker, Kubernetes, CI/CD",Full-time,On-site,4,High
JOB_0037,35,Frontend Developer,41000,"React, Vue, TypeScript, HTML/CSS",Full-time,On-site,2,High
JOB_0038,35,Backend Developer,55000,"Node.js, Python, Go, PostgreSQL",Full-time,On-site,4,High
JOB_0039,36,Frontend Developer,108000,"React, Vue, TypeScript, HTML/CSS",Full-time,Remote,3,Medium
JOB_0040,38,Frontend Developer,80000,"React, Vue, TypeScript, HTML/CSS",Full-time,On-site,1,Stable
JOB_0041,39,DevOps Engineer,33000,"AWS, Docker, Kubernetes, CI/CD",Full-time,Hybrid,2,High
JOB_0042,39,Product Manager,35000,"Agile, Scrum, Jira, Product Roadmap",Full-time,Hybrid,1,Stable
JOB_0043,41,DevOps Engineer,45000,"AWS, Docker, Kubernetes, CI/CD",Full-time,On-site,4,Medium
JOB_0044,41,QA Engineer,35000,"Selenium, Cypress, Automated Testing, Jira",Full-time,Hybrid,1,Medium
JOB_0045,42,Data Analyst,33000,"SQL, Python, Tableau, Excel",Full-time,On-site,4,Stable
JOB_0046,42,Full Stack Developer,70000,"React, Node.js, AWS, Docker",Full-time,Hybrid,3,Medium
JOB_0047,42,Data Analyst,120000,"SQL, Python, Tableau, Excel",Full-time,On-site,3,Medium
JOB_0048,44,Product Manager,47000,"Agile, Scrum, Jira, Product Roadmap",Contract,Hybrid,4,Stable
JOB_0049,44,Mobile Developer,45000,"Flutter, React Native, Swift, Kotlin",Full-time,On-site,3,Medium
JOB_0050,45,Data Analyst,52000,"SQL, Python, Tableau, Excel",Contract,On-site,5,Medium
JOB_0051,46,Data Engineer,89000,"Python, Spark, Airflow, Snowflake",Full-time,On-site,5,Medium
JOB_0052,46,Full Stack Developer,53000,"React, Node.js, AWS, Docker",Contract,On-site,2,High
JOB_0053,47,Product Manager,70000,"Agile, Scrum, Jira, Product Roadmap",Full-time,On-site,2,Medium
